table.gene	log*sign
SEPTIN2	6,236110342
DEF6	-6,230423091
EIF2B1	6,22931195
CNOT6L	-6,221547076
ZNF652	-6,22053215
ZXDC	-6,217807145
MS4A7	-6,216067118
EMB	-6,216066993
TSGA10	-6,21278298
DHCR7	6,212619185
GPBP1	-6,209855671
IFITM3	6,207611455
NEMF	-6,206638845
SEMA3G	-6,201397186
ALOX5	-6,200141259
MRPS33	6,198460972
TSFM	6,189654922
NR3C2	-6,188575372
STAG2	-6,187330682
FKBP3	6,183625946
CCR5	-6,178546676
BMPER	6,177646473
ADAM28	-6,177560449
PCLAF	6,173464938
CDK1	6,168683468
TRIAP1	6,16471843
URM1	6,164344501
IL1RN	-6,161617103
CD82	-6,160144846
UCK2	6,158698802
ETFB	6,157642903
CFH	6,156284973
FHL2	6,155545852
OCLN	-6,14985678
FAM76A	-6,148560565
RORA	-6,147557728
BTK	-6,14193249
GPRIN3	-6,138683647
KCNQ1	-6,136989021
LMO2	-6,134707596
ARHGAP9	-6,124283571
LMBRD1	-6,123903744
MRPL40	6,121959414
PDGFD	6,116761625
GATM	-6,106184494
PAG1	-6,102775552
SLC16A1	6,102571632
MAN1B1	6,102306543
COL5A1	6,101399107
TGFBI	6,090622436
MRPL36	6,090379395
LRRN1	-6,088239288
RAB13	6,079900812
CPEB2	-6,079737852
PLEK	-6,076034788
CXCL14	-6,066540325
FAM20C	6,064510348
THEMIS2	-6,062799683
ZFP62	-6,059318234
ARHGAP30	-6,056773188
TRIM28	6,055139446
IKZF1	-6,049418704
RUNX3	-6,049315708
SNTB1	-6,044785062
IMPAD1	6,044205246
REL	-6,042191629
KDM7A	-6,035371018
RPSA	6,03514339
NAA20	6,033757997
DRAP1	6,029108723
SARDH	6,020634044
MAGED2	6,020052343
CNPY2	6,017111435
WDR61	6,014887017
SAMD10	-6,014005
CBX3	6,0116456
GNA15	-6,009767365
RRAS2	6,008930214
DONSON	6,001500974
MMP9	-6,000098707
ARHGAP27	-5,999365085
EFHD2	-5,99792779
CSRNP1	-5,996392393
CD48	-5,99258245
HSPBP1	5,982768538
RALGAPA1	-5,97731165
RUVBL1	5,974322158
TGIF1	5,972058974
PMEPA1	-5,96047744
MCF2L	-5,957994097
ARHGAP15	-5,955903046
TAPT1	-5,948786261
NUCB1	5,948056385
PDIA5	5,944751862
PAICS	5,941557629
NCSTN	5,9409067
SLC25A3	5,936625793
U2AF2	5,93555467
ARHGAP35	5,935267273
TNFAIP3	-5,932487143
WDR54	5,932266356
STRAP	5,927204384
KLHDC8B	5,92622884
SYNCRIP	5,921636372
GTF2H4	5,921317256
SLC39A7	5,920768809
WHRN	-5,92071555
ACTN1	5,909068875
CD4	-5,907536159
MRPL52	5,906960926
ATG16L2	-5,899955527
SMAD3	5,893699897
NRBP1	5,888960528
GAB2	-5,884781376
CORO1A	-5,879990693
EMC1	5,871753097
P4HB	5,87117702
TNRC6B	-5,870465446
ARID4A	-5,868111251
TRAF3IP3	-5,865480476
C4orf36	-5,864877145
KCNMB1	-5,864051037
DCTN3	5,863976132
LPIN2	-5,863858662
ABCB1	-5,861731318
MINDY1	-5,859495203
SLC37A2	-5,857875576
STAT4	-5,857238379
HIKESHI	5,8497792
IKBIP	5,846385587
NKIRAS2	5,839926531
MRPL57	5,835592534
CMKLR1	-5,835469633
ACYP1	-5,833768216
ELMO1	-5,832093798
CCR1	-5,831938209
STX7	-5,830908682
SYTL1	-5,829779431
HSBP1	5,829373578
IFNGR1	-5,825994037
SGSM1	-5,825812956
UQCRQ	5,823787292
CX3CR1	-5,823045558
VIM	5,82025037
