	table.gene	table.logFC	table.logCPM	table.F	table,PValue	table.FDR	adjust.method	comparison	test
608	G6PD	-3.21181046541101	7.41792137245327	45.0136187784887	1,82E-07	2.88010536145838e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
5684	BICC1	-3.16664378182296	5.59735394812482	45.0050630881975	1,82E-07	2.88010536145838e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
3526	DHRS9	-6.88765824478099	3.31021064453461	48.8824648795536	2,26E-07	3.5330580358837e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
7998	IL1B	-7.27959935899467	3.95328987379428	59.5683121135836	2,43E-07	3.74913312507429e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
8673	SVEP1	-4.91083176666684	3.72968573315153	48.3114839933035	2,50E-07	3.80298972195913e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
3450	FAS	-2.78127736564806	4.88737511269402	42.6297509026856	2,99E-07	4.49176444262256e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
2534	CACNA2D3	-4.36783845805753	2.12738967474078	45.9985696827449	3,09E-07	4.57702267377518e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
10577	BMPER	-5.48085551502905	3.93045107435621	45.3100973430653	3,51E-07	5.14094542566421e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
1706	NAMPT	-3.23315587287232	8.02911206128048	41.2726598367392	4,00E-07	5.78951041938706e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
1425	BAMBI	-4.32904833471303	4.90326937055457	40.8914224913447	4,35E-07	6.21339084460778e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
1331	DMKN	-4.56926097899582	3.11898739630606	46.3003402914708	4,42E-07	6.24414774432596e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
8021	ANXA3	-3.63233047679061	6.45504314828236	40.7469694547821	4,49E-07	6.25982091432435e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
9841	ALDH1L2	-3.11307409073224	4.01342064232368	45.21014119345	5,37E-07	7.39936146206822e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
9015	SRPX	-4.2628603003709	7.6096982864888	43.7961507511325	5,67E-07	7.72739905298145e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
1446	STXBP2	-3.07301941463327	4.8010634205665	39.5758646948834	5,81E-07	7.82446915059082e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
1201	ACVRL1	-3.90661644468431	3.6368128743347	39.3898062198198	6,06E-07	8.05217739377815e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
9049	SMAD6	-3.46385720753767	5.16102021195648	39.3450568179061	6,12E-07	8.05217739377815e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
6627	MDFIC	-2.16886085834133	5.38115341055206	38.8959028929437	6,76E-07	8.80509930368754e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
10651	ABCA9	-4.55421697985148	3.05659730722258	38.8241528352189	6,87E-07	8.84991683807799e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
4830	SPOCK1	-3.9031638162746	5.129728692901	39.6026222127849	7,78E-07	9.88623194601011e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
1477	SLIT3	-4.43816139604488	5.65594304442513	42.0871947319372	7,85E-07	9.88623194601011e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
11235	PRKG1	-3.86869909830783	4.14032864022105	38.1812972806999	7,95E-07	9.90701639445229e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
536	CLEC11A	-2.99125871872294	4.55268365355091	44.1145771805401	8,08E-07	9.96612343951668e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
11030	EGR3	-4.54282137235278	2.37257153332859	42.7722034399973	8,37E-07	0.000102171533454458	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
3289	STEAP1	-4.52324517939344	4.84713016151947	37.5423078396956	9,20E-07	0.000110375154756852	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
1464	ROR1	-4.56957458566084	4.14402427969151	37.525198119583	9,23E-07	0.000110375154756852	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
