table.gene	table.logFC	table.logCPM	table.F	table.PValue	table.FDR	adjust.method	comparison	test
81	SP110	1.92966766956879	4.19632240798778	2.9177746951665	0.247417615850066	0.573380506573168	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
82	ATXN7L2	1.36821345670054	3.10327963955223	2.51393483909312	0.123176441387457	0.422889637372019	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
83	FBXO45	0.758068037969242	3.94163756758489	0.877832344704149	0.356168783084471	0.674335315839838	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
84	EXTL2	-0.0739977265021195	4.7019862060339	0.0144778870875189	0.905016916939637	0.993950211386571	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
85	POLRMT	0.80708836013116	4.82254614113795	1.6718342083238	0.20573829494313	0.532979002762076	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
86	CMC1	0.138914394574377	6.19531387120032	0.0943992050988822	0.760748936811202	0.92782893488214	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
87	FAF1	-0.604599790356469	5.41838945789509	2.18683068309397	0.149467495586831	0.464094745751527	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
88	DESI1	-0.870550061213529	7.23428156473677	2.13994883776626	0.153753635339419	0.468564088540801	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
89	PJA2	-0.914064792592391	5.26877389540118	1.63437337295447	0.210758845311615	0.537639143148678	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
90	CCDC103	3.29045447608583	2.31334054861689	5.34323501569731	0.0299221023027033	0.209204555958559	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
91	DLX5	2.98968600483533	1.81057925114449	3.0995284154294	0.0958319978993105	0.377502139265931	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
92	NPEPL1	0.522922195524913	4.94205830392752	0.381913873333556	0.54117610368259	0.806346102554579	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
93	GABRB3	5.04143211319681	2.43347557872647	10.2106446113899	0.00359625506646766	0.0693557392547483	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
94	RPS6KB2	0.989727570134028	5.22286408092658	6.3212251081172	0.0174386515504288	0.160093290369827	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
95	PDLIM1	-1.26086523187593	8.12812953504393	3.12015287183056	0.0873549843758136	0.361129888813848	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
96	MRPL36	0.269098211342596	6.8699122203438	0.261010999015524	0.613111141411834	0.849648432661791	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
97	SLC39A10	1.34985067742079	4.57519455386931	2.50128138414874	0.124087367300522	0.423841561895325	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
98	SLC52A3	2.80134566292816	2.08668773648664	5.31476472001589	0.0299278235938636	0.209204555958559	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
99	POPDC2	-5.19511104403072	2.84237216571897	22.0728620609757	0.000193798814775197	0.0148679115122274	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
100	ZNF791	-2.67120095983364	3.80612725081465	10.9155452961033	0.00251065024055158	0.056780078185337	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
101	LARP6	0.816094791449581	6.14113341815696	1.46245244664372	0.235847089664656	0.563200896934191	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
102	TMEM47	-0.232372455253544	5.05912032302137	0.0804928594491187	0.778550954800138	0.933992656329694	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
103	PTPN3	-0.886266325229135	3.52775401284902	0.53442049391771	0.470343081182568	0.757884478675571	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
104	RNF25	-0.116315040852949	5.0052449562963	0.0787795507435454	0.780856610060832	0.935641030485868	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
